champion,icon_url,threat_level,notes
Aatrox,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Aatrox.png,Even,"Trade away from his passive if you can (let him auto minions). Walk in and out (tether) of his Q ranges so that he wastes the CDs, then look for trades after. Also, you can try and dodge his Q during your trades with him. For first 2 Q click into him and for the last Q use your E to dodge. Trynd wins early levels (1-5). After that, win by finding an all-in window. When he uses R and you can't kill him start running away, then IF he chases you can look for a reengage window because the R will expire in your all-in. Has CC, but physical damage so they can itemize against you both easily."
Ahri,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ahri.png,Even,"Don't let her auto you for free when her W is up, because she will auto w auto while you're building rage. Don't stand in your wave (unless you want her to push into you) as you will lose prio because she gets to hit you and the wave with Q. Make sure to bait her abilities out by walking in and out of their zones then look for trading windows. After 6, you can't all-in her unless ultimate is down. Like Aatrox R, just force her R then disengage simultaneously looking for all-in windows as you're running and she is chasing you. Has CC, AP dmg is good."
Akali,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Akali.png,Major,"Tryndamere can win this matchup with a level 1 all-in. Otherwise, he needs to force an all-in while Akali shroud is on cooldown. Look to build rage without losing HP then engage a small trade to force her W and back off. Then use the W CD to get a winning trade. It's very important to dodge Akali E and track the CD as she uses it to kite and also burst you. Her R2 is an execute so make sure you press R for it. No"
Akshan,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Akshan.png,Major,"Tryndamere can win this matchup via all-in at level 6. Make sure to body block his e so that he stops swinging and you can kill him. Before 6, mitigate the bleeding via good laning fundamentals. Don't CS a minion if it means he gets to proc PTA/ his passive/ land his Q. Just let the minion die so you can live to fight at 6."
Alistar,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Alistar.png,Extreme,"While lane alistar isn't a problem, (as you'll just outscale him in the 1v1) alistar in general is a huge tryndamere counter. Any time alistar is on the enemy team avoid skirmishes where he is present as best as you can. If using phase rush, don't proc it until AFTER his W+Q combo comes out so that you can speed away from his E stun."
Ambessa,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Ambessa.png,Blank,Blank
Amumu,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Amumu.png,Minor,Weak champion. Just make sure to use E when he CCs you with Q to get away from ganks. You can't E through his R.
Anivia,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Anivia.png,Minor,You can use E when she Qs you to spin through the CC. Avoid letting her apply frost on you because she does double damage with her E. Left click her and look for the egg icon in the top left of your screen to see if she has passive or not. Push the lane hard and look for skirmishes around objectives.
Annie,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Annie.png,Minor,You can use E when she stuns you to spin through the CC. Pay attention to her spells and passive stun to know when you can all-in her.
Aphelios,https://ddragon.leagueoflegends.com/cdn/13.24.1/img/champion/Aphelios.png,Minor,The best guns to all-in Aphelios are blue and white. Avoid purple as he can CC you and red+white as he can tank your damage.
